Field_Location_Bin,Ratio_Loc_x,Ratio_Loc_y,Percentage_Loc_x,Percentage_Loc_y,Dot_Loc_x,Dot_Loc_y
Back Right,0.23,0.83,,,,
Back Left,0.77,0.83,,,,
Right Back,0.948,0.5,,,,
Left Back,0.063,0.5,,,,
1,0.268,0.56,,,,
2,0.5,0.56,,,,
3,0.742,0.56,,,,
4,0.268,0.445,,,,
5,0.5,0.445,,,,
6,0.742,0.445,,,,
7,0.268,0.33,,,,
8,0.5,0.33,,,,
9,0.742,0.33,,,,
Right Front,0.948,0.25,,,,
Left Front,0.063,0.25,,,,
Crease Right,0.742,0.185,,,,
Crease Left,0.268,0.185,,,,
Behind the Net,0.5,0.045,,,,
Right Under,0.8,0.05,,,,
Left Under,0.21,0.05,,,,
