Team,City,Full_Name,Abbrv,Color1,Color2,Color3,Logo_Path,Shadow_Logo_Path,Wordmark_Path
World Lacrosse,World Lacrosse,World Lacrosse,WL,#E6444A,#00A475,#116EB1,World Lacrosse.png,World Lacrosse_Shadow.png,World Lacrosse_Wordmark.png
Germany,Germany,Germany,GER,#FF0000,#FFB600,#000000,Germany.png,Germany_Shadow.png,Germany_Wordmark.png
England,England,England,ENG,#E83630,#0B214A,#C8A94C,England.png,England_Shadow.png,England_Wordmark.png
Ireland,Ireland,Ireland,IRL,#18723B,#FBAC1E,#000000,Ireland.png,Ireland_Shadow.png,Ireland_Wordmark.png
Poland,Poland,Poland,POL,#CB0000,#000000,#A3A3A3,Poland.png,Poland_Shadow.png,Poland_Wordmark.png
China,China,China,CHN,#DA332B,#FCE457,#000000,China.png,China_Shadow.png,China_Wordmark.png
Hong Kong,Hong Kong,Hong Kong,HKG,#EF262B,#FFFFFF,#000000,Hong Kong.png,Hong Kong_Shadow.png,Hong Kong_Wordmark.png
Australia,Australia,Australia,AUS,#0B4A3A,#F5B554,#000000,Australia.png,Australia_Shadow.png,Australia_Wordmark.png
Finland,Finland,Finland,FIN,#023E7F,#CACBCD,#000000,Finland.png,Finland_Shadow.png,Finland_Wordmark.png
United States,United States,United States,USA,#002366,#CF0E34,#A1A3A5,United States.png,United States_Shadow.png,United States_Wordmark.png
Netherlands,Netherlands,Netherlands,NED,#FBBB2A,#DA403A,#4C9AD8,Netherlands.png,Netherlands_Shadow.png,Netherlands_Wordmark.png
Haudenosaunee,Haudenosaunee,Haudenosaunee,HAU,#48398C,#FDC50F,#000000,Haudenosaunee.png,Haudenosaunee_Shadow.png,Haudenosaunee_Wordmark.png
