Tracker,Game_Date,Home_Team,Away_Team,Quarter,Game_Clock,Shot_Clock,Home_Strength,Away_Strength,Team,Event_Type,State,Player1,Location1_x,Location1_y,Net_Location,Shot_Angle,Result,Empty_Net,Goalie_Response,Shot_Type,Primary_Assist,Secondary_Assist,Rebound_Type,Rebound,Shot_Blocker,FO_Home,FO_Away,FO_Result,FO_Winning_Team,Turnover_Type,Home_Goalie,Away_Goalie,Min,Sec,Time_Stamp,Game,Season,Player1_Name,Primary_Assist_Name,Secondary_Assist_Name,FO_Home_Name,FO_Away_Name,Home_Goalie_Name,Away_Goalie_Name,Rebound_Team,Rebound_Name,Shot_Blocking_Team,Shot_Blocker_Name,Competition
Eddy,4/20/24,Germany,Ireland,1,5:13,14,5,5,Germany,Shot,Set,4,0.110781641,0.694394348,Top Miss,204.8175678,Miss,No,Not On Net,Movement,NA,NA,Offensive,86,NA,NA,NA,NA,NA,NA,1,35,5,13,587,4-20 Ireland vs Germany,2023,T. Helf,NA,NA,NA,NA,R. Erhardt,R. Moloney,Germany,M. Steyer,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,5:23,4,5,5,Germany,Turnover,Set,86,0.287892753,0.436289164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,1,35,5,23,577,4-20 Ireland vs Germany,2023,M. Steyer,NA,NA,NA,NA,R. Erhardt,R. Moloney,No Rebound,NA,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,5:26,28,5,5,Ireland,Turnover,Transition,17,0.216907744,0.548323832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ball Lost,1,35,5,26,574,4-20 Ireland vs Germany,2023,I. Keane,NA,NA,NA,NA,R. Erhardt,R. Moloney,No Rebound,NA,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,5:33,29,5,5,Germany,Shot,Transition,11,0.117107038,0.493015578,Left Leg,163.6460337,Miss,No,Not Clean,Movement,NA,NA,Defensive,17,NA,NA,NA,NA,NA,NA,1,35,5,33,567,4-20 Ireland vs Germany,2023,T. Garbe,NA,NA,NA,NA,R. Erhardt,R. Moloney,Ireland,I. Keane,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,5:58,13,5,5,Ireland,Turnover,Set,20,0.883885702,0.327090817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ball Lost,1,35,5,58,542,4-20 Ireland vs Germany,2023,J. Ruscio,NA,NA,NA,NA,R. Erhardt,R. Moloney,No Rebound,NA,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,6:25,9,5,5,Germany,Shot,Set,4,0.161384816,0.770975007,Left Miss,207.4784448,Miss,No,Not On Net,Assisted,19,NA,Offensive,19,NA,NA,NA,NA,NA,NA,1,35,6,25,515,4-20 Ireland vs Germany,2023,T. Helf,L. Delker,NA,NA,NA,R. Erhardt,R. Moloney,Germany,L. Delker,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,6:30,4,5,5,Germany,Shot,Set,84,0.219719032,0.616395529,Left Miss,251.6003004,Miss,No,Not On Net,Assisted,19,NA,Defensive,26,NA,NA,NA,NA,NA,NA,1,35,6,30,510,4-20 Ireland vs Germany,2023,T. Geissinger,L. Delker,NA,NA,NA,R. Erhardt,R. Moloney,Ireland,L. Reilly,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,6:43,24,5,5,Ireland,Turnover,Transition,16,0.568318681,0.566759916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,1,35,6,43,497,4-20 Ireland vs Germany,2023,O. Buggy,NA,NA,NA,NA,R. Erhardt,R. Moloney,No Rebound,NA,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,7:04,14,5,5,Germany,Shot,Set,13,0.17403561,0.34269058,Left Miss,81.37478135,Miss,No,Not On Net,Assisted,83,NA,Defensive,16,NA,NA,NA,NA,NA,NA,1,35,7,4,476,4-20 Ireland vs Germany,2023,A. Andres,L. Neubert,NA,NA,NA,R. Erhardt,R. Moloney,Ireland,O. Buggy,No Shot Block,NA,2024 SHEBOX
Eddy,4/20/24,Germany,Ireland,1,7:12,29,5,5,Ireland,Turnover,Transition,16,0.048230495,0.05905851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,1,35,7,12,468,4-20 Ireland vs Germany,2023,O. Buggy,NA,NA,NA,NA,R. Erhardt,R. Moloney,No Rebound,NA,No Shot Block,NA,2024 SHEBOX
